CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisitsPerMonth,Churn
[101],28,Male,Kuala Lumpur,Bronze,15.0,1200.5,Electronics,06/15/2023,Software Engineer,10,0
[102],35,Female,Penang,Silver,25.0,2000.75,Clothing,09/28/2023,Marketing Manager,8,0
[104],50,Female,Selangor,Platinum,40.0,5000.3,Clothing,10/20/2023,Doctor,15,0
[105],22,Male,Kuala Lumpur,Bronze,10.0,800.6,Home Goods,05/18/2023,Student,5,1
[106],38,Female,Selangor,Silver,20.0,1800.4,Clothing,07/10/2023,Engineer,9,0
[107],42,Male,Johor,Silver,35.0,4000.15,Clothing,08/15/2023,Business Owner,11,0
[108],48,Female,Selangor,Platinum,45.0,5500.8,Clothing,09/22/2023,Lawyer,14,0
[109],25,Male,Kuala Lumpur,Bronze,12.0,1000.3,Clothing,06/25/2023,Graphic Designer,6,1
[110],32,Female,Kuala Lumpur,Silver,22.0,2200.5,Electronics,08/12/2023,Teacher,7,0
[111],40,Male,Kuala Lumpur,Gold,38.0,4500.25,Clothing,10/18/2023,Chef,10,0
[112],55,Female,Kuala Lumpur,Gold,48.0,6000.9,Home Goods,11/25/2023,Artist,16,0
[114],36,Female,Johor,Gold,28.0,2500.6,Clothing,08/08/2023,Scientist,10,1
[115],48,Male,Kuala Lumpur,Platinum,42.0,4800.3,Home Goods,09/12/2023,Financial Analyst,12,0
[116],52,Female,Kuala Lumpur,Gold,50.0,7000.5,Electronics,11/28/2023,Psychologist,18,0
[118],34,Female,Penang,Gold,24.0,1900.8,Home Goods,07/15/2023,Journalist,9,0
[119],44,Male,Johor,Gold,32.0,3700.2,Electronics,08/20/2023,Pilot,13,0
[120],49,Female,Selangor,Gold,44.0,5200.4,Clothing,09/22/2023,Veterinarian,15,0
[121],26,Male,Kuala Lumpur,Gold,11.0,900.5,Clothing,05/28/2023,Social Worker,6,1
[123],43,Male,Johor,Gold,36.0,4100.3,Clothing,07/10/2023,Firefighter,10,0
[124],51,Female,Selangor,Platinum,46.0,5600.8,Clothing,10/18/2023,Librarian,14,0
[125],24,Male,Kuala Lumpur,Bronze,13.0,1050.4,Electronics,06/25/2023,UX Designer,7,1
[126],31,Female,Penang,Silver,23.0,2300.6,Clothing,08/12/2023,Police Officer,9,0
[127],39,Male,Johor,Gold,34.0,3900.25,Home Goods,08/15/2023,Economist,11,0
[128],46,Female,Selangor,Platinum,50.0,6000.9,Clothing,09/12/2023,Architect,16,0
[129],29,Male,Kuala Lumpur,Bronze,16.0,1300.6,Electronics,07/20/2023,Software Engineer,8,0
[130],37,Female,Kuala Lumpur,Silver,26.0,2400.8,Home Goods,08/25/2023,Marketing Manager,10,1
[131],41,Male,Kuala Lumpur,Gold,36.0,4100.3,Clothing,09/10/2023,Doctor,13,0
[132],54,Female,Kuala Lumpur,Platinum,48.0,5900.8,Electronics,10/18/2023,Lawyer,15,0
[133],27,Male,Kuala Lumpur,Bronze,13.0,1200.4,Home Goods,06/22/2023,Graphic Designer,7,0
[134],35,Female,Kuala Lumpur,Silver,22.0,2100.75,Electronics,08/05/2023,Teacher,8,0
[135],45,Male,Kuala Lumpur,Gold,31.0,3600.2,Clothing,09/10/2023,Engineer,11,0
